B23025_001E,B23025_001EA,B23025_001M,B23025_001MA,B23025_002E,B23025_002EA,B23025_002M,B23025_002MA,B23025_003E,B23025_003EA,B23025_003M,B23025_003MA,B23025_004E,B23025_004EA,B23025_004M,B23025_004MA,B23025_005E,B23025_005EA,B23025_005M,B23025_005MA,B23025_006E,B23025_006EA,B23025_006M,B23025_006MA,B23025_007E,B23025_007EA,B23025_007M,B23025_007MA,GEO_ID,NAME,state,zip code tabulation area
13322,,763,,7211,,586,,7211,,586,,6789,,585,,422,,118,,0,,21,,6111,,498,,8600000US76104,ZCTA5 76104,48,76104
19320,,987,,11856,,731,,11810,,728,,11347,,703,,463,,179,,46,,90,,7464,,722,,8600000US76109,ZCTA5 76109,48,76109
19593,,961,,12140,,801,,12076,,799,,11188,,796,,888,,299,,64,,81,,7453,,617,,8600000US76134,ZCTA5 76134,48,76134
46196,,1212,,33736,,1138,,33698,,1139,,32045,,1168,,1653,,338,,38,,34,,12460,,917,,8600000US76137,ZCTA5 76137,48,76137
47358,,1658,,33843,,1639,,33678,,1651,,32415,,1700,,1263,,394,,165,,88,,13515,,927,,8600000US76179,ZCTA5 76179,48,76179
33188,,1096,,22558,,863,,22398,,866,,21515,,884,,883,,271,,160,,88,,10630,,679,,8600000US76108,ZCTA5 76108,48,76108
20558,,919,,13210,,721,,13093,,743,,12427,,733,,666,,185,,117,,82,,7348,,680,,8600000US76114,ZCTA5 76114,48,76114
13886,,1068,,10335,,1035,,10335,,1035,,9641,,914,,694,,262,,0,,21,,3551,,480,,8600000US76120,ZCTA5 76120,48,76120
8607,,918,,6738,,793,,6722,,796,,6423,,812,,299,,199,,16,,26,,1869,,406,,8600000US76177,ZCTA5 76177,48,76177
39940,,1191,,26204,,1108,,26195,,1111,,24290,,1060,,1905,,414,,9,,14,,13736,,773,,8600000US76133,ZCTA5 76133,48,76133
8275,,578,,3977,,444,,3963,,442,,3711,,435,,252,,153,,14,,23,,4298,,467,,8600000US76102,ZCTA5 76102,48,76102
25784,,966,,17330,,701,,17295,,695,,16641,,702,,654,,166,,35,,29,,8454,,661,,8600000US76107,ZCTA5 76107,48,76107
30777,,1732,,21787,,1414,,21494,,1399,,20582,,1338,,912,,312,,293,,214,,8990,,924,,8600000US76131,ZCTA5 76131,48,76131
22851,,1268,,14686,,1012,,14610,,986,,13640,,958,,970,,301,,76,,91,,8165,,817,,8600000US76140,ZCTA5 76140,48,76140
4917,,369,,4231,,344,,4212,,343,,4146,,345,,66,,58,,19,,30,,686,,207,,8600000US76155,ZCTA5 76155,48,76155
2519,,226,,686,,122,,686,,122,,609,,113,,77,,45,,0,,14,,1833,,218,,8600000US76129,ZCTA5 76129,48,76129
11806,,857,,7361,,673,,7354,,673,,6720,,659,,634,,202,,7,,11,,4445,,475,,8600000US76164,ZCTA5 76164,48,76164
15678,,880,,8836,,745,,8836,,745,,8351,,755,,485,,166,,0,,25,,6842,,481,,8600000US76105,ZCTA5 76105,48,76105
24388,,1085,,15889,,873,,15882,,872,,15003,,848,,879,,200,,7,,15,,8499,,678,,8600000US76110,ZCTA5 76110,48,76110
18931,,760,,13316,,650,,13316,,650,,12757,,672,,559,,166,,0,,25,,5615,,489,,8600000US76148,ZCTA5 76148,48,76148
17740,,629,,12027,,562,,12020,,560,,11513,,532,,507,,163,,7,,11,,5713,,377,,8600000US76126,ZCTA5 76126,48,76126
12067,,826,,7205,,637,,7205,,637,,6705,,630,,500,,188,,0,,21,,4862,,454,,8600000US76103,ZCTA5 76103,48,76103
37150,,1548,,21070,,1063,,21070,,1063,,19558,,1005,,1512,,274,,0,,32,,16080,,1058,,8600000US76119,ZCTA5 76119,48,76119
14877,,991,,9523,,734,,9513,,732,,8943,,711,,570,,153,,10,,17,,5354,,532,,8600000US76115,ZCTA5 76115,48,76115
26879,,1362,,19550,,1144,,19441,,1143,,18526,,1056,,915,,275,,109,,107,,7329,,789,,8600000US76123,ZCTA5 76123,48,76123
16942,,1143,,11524,,886,,11520,,886,,10940,,802,,580,,173,,4,,8,,5418,,637,,8600000US76135,ZCTA5 76135,48,76135
16727,,784,,11200,,681,,11200,,681,,10612,,679,,588,,169,,0,,25,,5527,,459,,8600000US76111,ZCTA5 76111,48,76111
32633,,1198,,21065,,1075,,21038,,1074,,19899,,1053,,1139,,275,,27,,23,,11568,,740,,8600000US76112,ZCTA5 76112,48,76112
12478,,580,,8887,,556,,8887,,556,,8521,,532,,366,,213,,0,,21,,3591,,376,,8600000US76118,ZCTA5 76118,48,76118
40148,,1335,,26266,,1131,,26212,,1135,,24391,,1195,,1821,,431,,54,,48,,13882,,949,,8600000US76116,ZCTA5 76116,48,76116
21939,,714,,14833,,708,,14833,,708,,14265,,649,,568,,165,,0,,25,,7106,,483,,8600000US76132,ZCTA5 76132,48,76132
28286,,1451,,17421,,1116,,17421,,1116,,16137,,1148,,1284,,311,,0,,29,,10865,,990,,8600000US76106,ZCTA5 76106,48,76106
